Date,Close/Last,Volume,Open,High,Low,Day
45628,640.25,5000,628.85,647.86,627.02,55
45625,627.02,2232,620.87,627.02,618.495,56
45623,624.35,2225,624,626.09,619.49,57
45622,621.75,3868,629.61,634.89,620.48,58
45621,625.64,5902,619.51,627.58,616.1599,59
45618,607.69,6677,604.21,610,603.132,60
45617,602.636,5999,602.62,606.62,598.424,61
45616,610.01,34742,615.34,615.34,605,62
45615,612.8,4746,605.86,615,600.87,63
45614,623.401,2753,620.4,625,613.94,64
45611,621.45,10335,620,622.592,615,65
45610,614.568,11951,618.85,619.99,613.85,66
45609,603.58,3735,609.39,609.9164,602.4403,67
45608,609.595,9858,620,620,601,68
45607,637.69,5358,639.14,644.36,635.9,69
45604,645.695,9917,645.5,648.01,640.45,70
45603,672.45,3187,665.37,674.12,665.37,71
45602,643.35,5053,653.14,653.2,642.208,72
45601,658.9,2717,658,662.304,654.42,73
45600,661.32,1034,659.59,665.7,658,74
45597,659.88,1910,665,668.35,659.56,75
45596,664.2,27795,669.73,669.73,658,76
45595,673.39,8280,661.46,674.123,660.66,77
45594,678.83,2494,684.4,686.9,678.81,78
45593,686.8,5848,685.68,688.0799,680.472,79
45590,676.5,2533,675.83,681.71,671.5,80
45589,680,2272,681.9,686.2,675.52,81
45588,659.818,1545,663,667.49,658,82
45587,668.76,27441,662.06,672,662.06,83
45586,664.35,1287,669.93,669.93,660.22,84
45583,677.7035,10057,679.8601,680.32,675.44,85
45582,657.133,5364,659.68,664.9,654.216,86
45581,652.2525,7296,648.38,658.94,648.38,87
45580,644.186,15857,692.22,699.37,600.83,88
45579,697.285,2666,695.26,706,693.58,89
45576,718,912,712.62,718.18,711.13,90
45575,715.45,1012,720.33,720.33,713.96,91
45574,723.538,785,712.96,725.37,712.96,92
45573,724.4525,9213,723.2,726,714.82,93
45572,745,1942,737.56,749.51,737.56,94
45569,733.55,1229,721.74,734,721.74,95
45568,728.24,1128,727.5,734.53,725,96
45567,733.96,1636,732.352,745.86,731.28,97
45566,733,4733,747.8,754.72,731,98
45565,772.45,1553,778.82,778.82,761.814,99
45562,781.1,4787,774.53,786.44,774.53,100
45561,764.98,6216,747.47,764.98,745.4099,101
45560,689.68,3493,693.33,693.33,687,102
45559,690.98,47018,685.15,690.98,680.78,103
45558,662,5892,659.96,666.636,657,104
45555,664.605,4195,669.37,669.37,660,105
45554,686.63,1296,680,690.83,678.99,106
45553,665.5,2194,674.41,674.41,663.3,107
45552,675.8,1986,677.21,679,674,108
45551,675.11,3616,671.02,679,671.02,109
45548,674.18,4289,676.97,680,672,110
45547,674,2428,666.15,680.63,665.9238,111
45546,673.78,10663,675,678,664,112
45545,676.01,1425,676.78,679.0965,672.08,113
45544,683.1055,1439,681.66,685.209,680,114
45541,681.05,12844,688.03,688.345,675.11,115
45540,690,3714,688.85,690.06,683.39,116
45539,715,1465,711.88,715,709.88,117
45538,734.83,737,747,747.9,734.83,118
45534,747,1304,749,752.2,741.5,119
45533,748,891,748.002,753.94,745.07,120
45532,740,7044,744.48,746.3,736.15,121
45531,749,30043,751.62,753.3866,744.95,122
45530,760,1956,762,765.18,759,123
45527,763.63,1527,749.4,763.63,749.4,124
45526,750.1,1160,761.24,763.216,750.1,125
45525,760.6,664,754.56,760.6,753.73,126
45524,750,827,749.81,757.012,749.81,127
45523,746.1,1376,737.85,749.81,737.85,128
45520,727.55,2272,724.7,727.55,722.44,129
45519,721,2861,717.89,723.7917,717.89,130
45518,711.5,2390,708.624,713,705.57,131
45517,698.354,1394,695,702.095,688.402,132
45516,693.5,1595,697,703.23,692.25,133
45513,696.9,953,699.5,699.5,691.6599,134
45512,694,1717,682.62,695,682.62,135
45511,685.25,1831,693.056,694.5401,679.18,136
45510,686.99,8474,678,692.9287,672.72,137
45509,680.6,4011,703.1,703.1,672,138
45506,690,1745,688.39,694.2265,685.7,139
45505,690,7222,700,700.01,687,140
45504,706.5,1945,713,713,701.6875,141
45503,703.1,2253,711.43,715.846,701.71,142
45502,707.58,6004,710.35,714.77,703.41,143
45499,723.23,2835,715,724.1,712.26,144
45498,718.97,5111,711,724.5,702.63,145
45497,710.5,6013,729.76,730,710.285,146
45496,736.16,3134,763.67,763.67,725.1,147
45495,773.75,10484,753,773.75,750.9409,148
45492,741,1487,743.775,747.05,740,149
45491,756.02,2819,757.31,765,751.5,150
45490,754.654,1374,755,760.9271,752.5,151
45489,759.17,5984,757.34,765,752.23,152
45488,765.6001,14986,789,790.3,765,153
