YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
1999,26,150845,3500,Craigslist
2005,20,124034,5000,Craigslist
2008,17,90231,7200,Craigslist
2010,15,85810,8500,Craigslist
2012,13,72563,10900,Craigslist
2014,11,68621,12250,Craigslist
2016,9,57823,14500,Craigslist
2017,8,45913,15500,Craigslist
2018,7,41938,17300,Craigslist
2019,6,35273,19000,Craigslist
2020,5,34817,21000,Craigslist
2022,4,25341,23000,Craigslist
2023,3,15266,27800,Craigslist
2024,2,19862,29910,Craigslist
